Product,N,P,K,Ca,Mg,S,Fe,Cu,Mn,B,Zn,Weight in lbs,Cost / Bag,Cost / 1 lb N,SGN,Product Link,Label,Sources,Urea Nitrogen,Ammoniacal Nitrogen,Water Insoluble Nitrogen,Other water Soluble,Slowly Available From
Reinders - 30-0-0 Nitrogen Fertilizer - 50 LB BAG,30.00%,0.00%,0.00%,0.00%,0.00%,10.80%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$21.32 ,$1.42 ,220,https://www.reinders.com/products/m30-0-0/,https://assetcloud01.roccommerce.net/files/_reinders/9/9/5/m30-0-0-label.pdf,"Urea, Ammonium Sulfate",20.55,9.45,9.45,,
Reinders - 24-0-12 100%RXN - 50 LB BAG,24.00%,0.00%,12.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$29.26 ,$2.44 ,,https://www.reinders.com/products/370-9400/,https://assetcloud01.roccommerce.net/files/_reinders/3/9/7/370-9400-label.pdf,Urea and Muriate of Potash,24*,,,,*RXN
16-6-28 Award Turf Fertilizer - DOT Type B - 50 LB BAG,16.00%,6.00%,28.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$31.35 ,$3.92 ,,https://www.reinders.com/products/544-7010/,https://assetcloud01.roccommerce.net/files/_reinders/8/7/4/544-7010-label.pdf,"Urea, Muriate of Potash and Diammonium Phosphate",13.6,2.4,2.4,,
Reinders - 24-0-10 100%UMAXX SOP - 50 LB BAG,24.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$46.64 ,$3.89 ,,https://www.reinders.com/products/370-7420/,https://assetcloud01.roccommerce.net/files/_reinders/9/2/3/370-7420-label.pdf,Urea and Sulfate of Potash,24*,,,,*stabilized with dicyandiamide and N-(n-butyl) thiophosphoric triamide
Reinders - 28-0-5 100% STN - 50 LB BAG,28.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$31.35 ,$2.24 ,,https://www.reinders.com/products/370-2260/,https://assetcloud01.roccommerce.net/files/_reinders/9/1/10/370-2260-label.pdf,Urea and Muriate of Potash,28*,,,,*STN
Reinders - 16-12-6 75%RXN 20%AmSul 10%Milo SOP Avail Mini - 50 LB BAG,16.00%,12.00%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$41.69 ,$5.21 ,,https://www.reinders.com/products/370-9670/,https://assetcloud01.roccommerce.net/files/_reinders/2/5/5/370-9670-label.pdf,"Urea, Ammonium Sulfate, Sulfate of Potash and Monoammonium Phosphate",10.4,5.6,5.6,,
Reinders - 30-0-10 50% RXN 2% FE - 50 LB Bag,30.00%,0.00%,10.00%,0.00%,0.00%,0.00%,2.00%,0.00%,0.00%,0.00%,0.00%,50,$32.89 ,$2.19 ,,https://www.reinders.com/products/ec-grow-30-0-10-50-rxn-2-fe-50-lb-bag/,https://assetcloud01.roccommerce.net/files/_reinders/1/10/5/370-2110-label.pdf,"Urea, Muriate of Potash, Biosolids and Iron oxy-sulfate",30,,,,
Reinders - 20-0-5 100%RXN - 10%Organic - 50 LB BAG,20.00%,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$26.29 ,$2.63 ,,https://www.reinders.com/products/370-8110/,https://assetcloud01.roccommerce.net/files/_reinders/6/3/6/370-8110-label.pdf,"Urea, Muriate of Potash and Biosolids",20,,,,
EC Grow - 35-0-10 Spread-It Forget-It Fertilizer - SGN250 - 50 LB BAG,35.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$49.94 ,$2.85 ,250,https://www.reinders.com/products/rp35-0-10/,https://assetcloud01.roccommerce.net/files/_reinders/10/7/7/rp35-0-10-label.pdf,"Urea, Polymer Coated Urea and Muriate of Potash",35*,,,,*33.25% polymer coated urea
Reinders - 22-0-10 50%RXN and 35%Organic - 50 LB BAG,22.00%,0.00%,10.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,50,$28.05 ,$2.55 ,,https://www.reinders.com/products/370-2200/,https://assetcloud01.roccommerce.net/files/_reinders/7/5/10/370-2200-label.pdf,"Urea, Muriate of Potash and Biosolids",20.8,,,,
